,Brand,Price,Original Price,Discount %,Rating,Number of Ratings,Product Link,Discount Amount,Product Name,Product Type,Premium_Tier,Product_Category,Value for Money,Rating Category,Price Range
11,boAt,899,2490,64,4.1,85510,https://www.flipkart.com/boat-rockerz-110-40-hrs-playback-enx-technology-beast-mode-asap-charge-bluetooth/p/itm1707c9f88f559?pid=ACCGS9ZMGQZH4FZF&lid=LSTACCGS9ZMGQZH4FZFK9O3V4&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_12&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-ApmkSkXeNH-BzDlKmQE5wLWrKI2DdCp8tda3QRSRhWaQ%3D%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1591,Boat Rockerz 110 40 Hrs Playback Enx Technology Beast Mode Asap Charge Bluetooth,Over-Ear/On-Ear,Standard,Standard Over-Ear/On-Ear,0.004560622914349276,High,500–1k
12,Bashaam,290,1499,81,3.5,36,https://www.flipkart.com/bashaam-x288-wireless-enc-360-degree-spatial-audio-upto-40-hours-playback-bluetooth-without-mic/p/itm3b38a78220c78?pid=ACCH29RZQNBZCKWF&lid=LSTACCH29RZQNBZCKWF2HZGDI&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_13&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCH29RZQNBZCKWF.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1209,Bashaam X288 Wireless Enc 360 Degree Spatial Audio Upto 40 Hours Playback Bluetooth Without Mic,Other,Standard,Standard Other,0.01206896551724138,Medium,<500
13,boAt,899,2490,64,4.1,43809,https://www.flipkart.com/boat-rockerz-110-40-hrs-playback-enx-technology-beast-mode-asap-charge-bluetooth/p/itm0295d17338c98?pid=ACCGS9ZMAXHZFU2K&lid=LSTACCGS9ZMAXHZFU2KFEHHN6&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_14&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGS9ZMAXHZFU2K.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1591,Boat Rockerz 110 40 Hrs Playback Enx Technology Beast Mode Asap Charge Bluetooth,Over-Ear/On-Ear,Standard,Standard Over-Ear/On-Ear,0.004560622914349276,High,500–1k
14,OnePlus,1599,2299,30,4.3,1208320,https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth/p/itm37712330f2d6f?pid=ACCGF4JZHYTERVTY&lid=LSTACCGF4JZHYTERVTYGY0TJT&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_15&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGF4JZHYTERVTY.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,700,Oneplus Bullets Wireless Z2 Bluetooth,Other,Standard,Standard Other,0.0026891807379612258,High,1k–2k
15,GUGGU,473,999,53,3.5,453,https://www.flipkart.com/guggu-m19-crystalclear-earbuds-hdaudio-bluetooth-headset-with-long-battery-lifeb353-bluetooth/p/itm117df6b71de79?pid=ACCHFMATXVTY9VUT&lid=LSTACCHFMATXVTY9VUTVA91AQ&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_16&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCHFMATXVTY9VUT.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,526,Guggu M19 Crystalclear Earbuds Hdaudio Bluetooth Headset With Long Battery Lifeb353 Bluetooth,Earbuds,Standard,Standard Earbuds,0.007399577167019027,Medium,<500
16,truke,1099,2999,63,4.6,268,https://www.flipkart.com/truke-btg-thunder-40mm-titanium-driver-70h-battery-detachable-mic-dual-pairing-bluetooth-gaming/p/itmcd83e383b2782?pid=ACCH8Z4YMH89NTGR&lid=LSTACCH8Z4YMH89NTGRR50P0Y&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_17&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-DdiUN_Pguy9ZFjCnzNMYXyGyhdQ1vdEKXIJodHexjfjonfEY2D5bWfIUmTlXs_oiU%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1900,Truke Btg Thunder 40Mm Titanium Driver 70H Battery Detachable Mic Dual Pairing Bluetooth Gaming,Gaming Headset,Standard,Standard Gaming Headset,0.0041856232939035485,Very High,1k–2k
17,Aroma,299,2999,90,3.7,41388,https://www.flipkart.com/aroma-nb120-amaze-upto-50-hours-playtime-fast-charging-dual-pairing-neckband-bluetooth/p/itmb25a294e591ce?pid=ACCH5Z8QFZNFUBFP&lid=LSTACCH5Z8QFZNFUBFPQQ1CT7&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_18&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-AvcqwDsDMpyA2CK1TTH1-3U2Soy8UTVsavTgfqJi8w4A%3D%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2700,Aroma Nb120 Amaze Upto 50 Hours Playtime Fast Charging Dual Pairing Neckband Bluetooth,Neckband,Standard,Standard Neckband,0.012374581939799331,High,<500
18,Aroma,289,1999,86,3.6,36745,https://www.flipkart.com/aroma-nb119-pro-belief-upto-48h-playtime-fast-charging-dual-pairing-neckband-bluetooth/p/itm2c7088a55ed94?pid=ACCH3WZW6FHU7T3F&lid=LSTACCH3WZW6FHU7T3FB61A7Y&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_19&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCH3WZW6FHU7T3F.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1710,Aroma Nb119 Pro Belief Upto 48H Playtime Fast Charging Dual Pairing Neckband Bluetooth,Neckband,Standard,Standard Neckband,0.01245674740484429,High,<500
19,realme,1099,2499,56,4.2,461206,https://www.flipkart.com/realme-buds-wireless-3-neo-13-4mm-driver-32-hrs-playback-dual-device-connection-bluetooth/p/itmfacc0c48b9799?pid=ACCHYRHPDUU2HUGG&lid=LSTACCHYRHPDUU2HUGGYZLKOX&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_20&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCHYRHPDUU2HUGG.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1400,Realme Buds Wireless 3 Neo 13 4Mm Driver 32 Hrs Playback Dual Device Connection Bluetooth,Earbuds,Standard,Standard Earbuds,0.003821656050955414,High,1k–2k
20,TRIGGR,899,3999,78,4.0,13178,https://www.flipkart.com/triggr-kraken-x4-13mm-drivers-40ms-latency-enc-60h-battery-rubber-finish-v5-4-bluetooth/p/itmafca9456b9bf9?pid=ACCH2WWTAHPTFBHJ&lid=LSTACCH2WWTAHPTFBHJSSAIUQ&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_21&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-AiqhN6V0uC7tn-9dQ3wcTNKYPwgDJqEThHiSWd36_G9vUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,3100,Triggr Kraken X4 13Mm Drivers 40Ms Latency Enc 60H Battery Rubber Finish V5 4 Bluetooth,Gaming Headset,Standard,Standard Gaming Headset,0.004449388209121246,High,500–1k
21,Aroma,469,2999,84,3.9,6341,https://www.flipkart.com/aroma-nb126-aster-v5-4-upto-50hr-playtime-45ms-latency-fast-charging-rgb-gaming-tws-bluetooth/p/itm06f50cafd3b6f?pid=ACCH93WDVXY2TYFX&lid=LSTACCH93WDVXY2TYFXVITTO2&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_22&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-DfKkVRkR8h39vWYeEd6bIz00pcUO8JbDFTp6lhRILDyw%3D%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2530,Aroma Nb126 Aster V5 4 Upto 50Hr Playtime 45Ms Latency Fast Charging Rgb Gaming Tws Bluetooth,Earbuds,Standard,Standard Earbuds,0.008315565031982943,High,<500
22,OnePlus,1599,2299,30,4.3,1208320,https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth/p/itm1797590c0a716?pid=ACCGC4GNTHDWZJRA&lid=LSTACCGC4GNTHDWZJRALA5AYN&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&spotlightTagId=default_FkPickId_0pm%2Ffcn&srno=s_1_23&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGC4GNTHDWZJRA.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,700,Oneplus Bullets Wireless Z2 Bluetooth,Other,Standard,Standard Other,0.0026891807379612258,High,1k–2k
23,Aroma,299,2999,90,3.7,41388,https://www.flipkart.com/aroma-nb120-amaze-upto-50-hours-playtime-fast-charging-dual-pairing-neckband-bluetooth/p/itmedc6d4ff60c9b?pid=ACCH5Z8QA7HR2YJN&lid=LSTACCH5Z8QA7HR2YJNLC2GBT&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_24&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCH5Z8QA7HR2YJN.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2700,Aroma Nb120 Amaze Upto 50 Hours Playtime Fast Charging Dual Pairing Neckband Bluetooth,Neckband,Standard,Standard Neckband,0.012374581939799331,High,<500
24,GUGGU,581,1149,49,3.5,24,https://www.flipkart.com/guggu-fg-169-sh12-headset-super-extra-bass-bluetooth-furious-ear/p/itme0db0e9e0b66d?pid=ACCGZZGF8NVYG9F5&lid=LSTACCGZZGF8NVYG9F5C5TXQ5&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_25&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGZZGF8NVYG9F5.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,568,Guggu Fg 169 Sh12 Headset Super Extra Bass Bluetooth Furious Ear,Over-Ear/On-Ear,Standard,Standard Over-Ear/On-Ear,0.006024096385542169,Medium,500–1k
25,OnePlus,1599,2299,30,4.3,1208320,https://www.flipkart.com/oneplus-bullets-wireless-z2-bluetooth/p/itmead8b91ee9df2?pid=ACCGPGKRDJB86GAE&lid=LSTACCGPGKRDJB86GAE8UKLJY&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_26&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGPGKRDJB86GAE.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,700,Oneplus Bullets Wireless Z2 Bluetooth,Other,Standard,Standard Other,0.0026891807379612258,High,1k–2k
26,TRIGGR,799,3999,80,4.0,61665,https://www.flipkart.com/triggr-kraken-x1-battery-display-40ms-latency-quad-mic-enc-40-hr-v5-3-bluetooth/p/itm9c05f498c3463?pid=ACCGQ2SND4UPDYAF&lid=LSTACCGQ2SND4UPDYAF4AJWHE&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_27&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-DUpmWflXT2U3ADk5IvShyXYIXUu4unTzq8zESM6izQqQ891ypMzu4_aryI8_sihJ8%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,3200,Triggr Kraken X1 Battery Display 40Ms Latency Quad Mic Enc 40 Hr V5 3 Bluetooth,Gaming Headset,Standard,Standard Gaming Headset,0.0050062578222778474,High,500–1k
27,HOPPUP,599,3999,85,4.1,52514,https://www.flipkart.com/hoppup-airdoze-s40-earbuds-13mm-drivers-40h-playtime-rage-mode-enc-type-c-bluetooth/p/itmf2c41845d2999?pid=ACCGPW7CSXTVSCRE&lid=LSTACCGPW7CSXTVSCRESHK6LL&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_28&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-DZ-GxksHIw_IZJoQe-uAXzkP2tmpCQSmNTrmS_bORYFoQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,3400,Hoppup Airdoze S40 Earbuds 13Mm Drivers 40H Playtime Rage Mode Enc Type C Bluetooth,Earbuds,Standard,Standard Earbuds,0.00684474123539232,High,500–1k
28,Aroma,499,1999,75,4.0,23850,https://www.flipkart.com/aroma-nb119-zebra-upto-100h-playtime-enc-magnetic-on-off-fast-charging-neckband-bluetooth/p/itm004d1f2b228f8?pid=ACCH837GUDQXDYTH&lid=LSTACCH837GUDQXDYTHK0XFFV&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_29&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCH837GUDQXDYTH.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1500,Aroma Nb119 Zebra Upto 100H Playtime Enc Magnetic On Off Fast Charging Neckband Bluetooth,Neckband,Standard,Standard Neckband,0.008016032064128256,High,<500
29,Aroma,449,2499,82,4.0,14770,https://www.flipkart.com/aroma-nb124-bombay-upto-100-hours-playtime-enc-voice-changer-fast-charging-neckband-bluetooth/p/itma3cb5f81acf77?pid=ACCH5ZFXXMBWNHNB&lid=LSTACCH5ZFXXMBWNHNBZ2ASNY&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_30&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCH5ZFXXMBWNHNB.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2050,Aroma Nb124 Bombay Upto 100 Hours Playtime Enc Voice Changer Fast Charging Neckband Bluetooth,Neckband,Standard,Standard Neckband,0.008908685968819599,High,<500
30,Aroma,299,1999,85,3.6,35455,https://www.flipkart.com/aroma-nb140-evolve-24-hours-playtime-deep-bass-made-india-bluetooth/p/itma5d69fa3c9049?pid=ACCGZDDPRBSY4CHH&lid=LSTACCGZDDPRBSY4CHHIYE8QR&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_31&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-BuiqSQ-o9986x9-BQFFx4hl-G8I2N8SqHSvH0iNG5ucg%3D%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1700,Aroma Nb140 Evolve 24 Hours Playtime Deep Bass Made India Bluetooth,Neckband,Standard,Standard Neckband,0.012040133779264214,High,<500
31,Aroma,493,2899,83,3.9,6341,https://www.flipkart.com/aroma-nb138-bound-32db-active-noise-cancellation-60h-fast-charging-earbuds-bluetooth/p/itmec918bc02ff41?pid=ACCH6XPEMVCWZERJ&lid=LSTACCH6XPEMVCWZERJOTVJ7O&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_32&otracker=search&fm=organic&iid=en_7AvLTkZ2kNQnYwbEBu8sndyW2O1ShhBH6t1AhA8Ei-A1mwdceKWaB-FZa_3YrOhzxkVU47I8v_jJ1YoTtNGoUA%3D%3D&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,2406,Aroma Nb138 Bound 32Db Active Noise Cancellation 60H Fast Charging Earbuds Bluetooth,Earbuds,Standard,Standard Earbuds,0.007910750507099391,High,<500
32,GUGGU,573,1149,50,3.3,85,https://www.flipkart.com/guggu-gw-201-sh12-headset-super-extra-bass-bluetooth-furious-ear/p/itm7fdbaf951d2f6?pid=ACCGZZGFSSPSVGQ3&lid=LSTACCGZZGFSSPSVGQ37JOGNE&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_33&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGZZGFSSPSVGQ3.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,576,Guggu Gw 201 Sh12 Headset Super Extra Bass Bluetooth Furious Ear,Over-Ear/On-Ear,Standard,Standard Over-Ear/On-Ear,0.005759162303664921,Medium,500–1k
33,boAt,999,2490,60,4.1,441862,https://www.flipkart.com/boat-rockerz-235-pro-upto-20-hours-playback-asap-charge-bluetooth/p/itm6227968b63650?pid=ACCGBVMG5N6P7TEK&lid=LSTACCGBVMG5N6P7TEKPG4UJP&marketplace=FLIPKART&q=bluetooth+headphones&store=0pm%2Ffcn&srno=s_1_34&otracker=search&fm=organic&iid=c823d091-d5c8-4c05-9637-7f0ec0017785.ACCGBVMG5N6P7TEK.SEARCH&ppt=None&ppn=None&ssid=gkdr406hrk0000001745315911749&qH=d3d3b01268520582,1491,Boat Rockerz 235 Pro Upto 20 Hours Playback Asap Charge Bluetooth,Over-Ear/On-Ear,Standard,Standard Over-Ear/On-Ear,0.004104104104104104,High,500–1k
